,key,value
199,adidas Yeezy 700,199
200,adidas Yeezy 700 V2,200
201,adidas Yeezy 700 V3,201
202,adidas Yeezy Boost 350,202
203,adidas Yeezy Boost 350 V2,203
204,adidas Yeezy Boost 380,204
205,adidas Yeezy Boost 700,205
206,adidas Yeezy Boost 700 MNVN,206
207,adidas Yeezy Boost 700 V2,207
208,adidas Yeezy Boost 700 Wave Runner,208
209,adidas Yeezy Boost 750,209
210,adidas Yeezy Desert Boot,210
211,adidas Yeezy Powerphase,211
212,adidas ZX 5000,212
213,adidas ZX Flux,213
