,key,value
115,Jordan 1 Retro High Obsidian UNC,115
116,Jordan 1 Retro High Off-White Chicago,116
117,Jordan 1 Retro High Off-White University Blue,117
118,Jordan 1 Retro High Phantom Gym Red,118
119,Jordan 1 Retro High Pine Green,119
120,Jordan 1 Retro High Pine Green Black,120
121,Jordan 1 Retro High Rookie of the Year,121
122,Jordan 1 Retro High Royal Toe,122
123,Jordan 1 Retro High Shadow (2018),123
124,Jordan 1 Retro High Shattered Backboard 3.0,124
125,Jordan 1 Retro High Spider-Man Origin Story,125
126,Jordan 1 Retro High Sports Illustrated (A Star Is Born),126
127,Jordan 1 Retro High Track Red,127
128,Jordan 1 Retro High Travis Scott,128
129,Jordan 1 Retro High Turbo Green,129
130,Jordan 1 Retro High Union Los Angeles Black Toe,130
131,Jordan 1 Retro High Union Los Angeles Blue Toe,131
132,Jordan 1 Retro High Yellow Ochre,132
133,Jordan 1 Retro High Zoom Fearless,133
134,Jordan 1 Retro High Zoom White Racer Blue,134
135,"Jordan 1 Retro High \""Not for Resale\"" Varsity Red",135
136,Jordan 1 Retro Low OG SP Travis Scott,136
137,Jordan 1 Retro Reverse Shattered Backboard,137
138,Jordan 1 Retro Royal (2017),138
139,"Jordan 1 Retro Satin \""Banned\""",139
140,"Jordan 1 Retro Satin \""Royal\""",140
141,Jordan 1 Retro Shadow (2013),141
142,Jordan 1 Retro Shattered Backboard,142
143,Jordan 1 Retro Top 3,143
144,Jordan 10 OG Sacramento Kings,144
145,Jordan 10 Retro Doernbecher,145
146,Jordan 10 Retro Drake OVO Black,146
147,Jordan 10 Retro Drake OVO White,147
148,Jordan 10 Retro Seattle,148
149,Jordan 11 Retro 72-10,149
150,Jordan 11 Retro Concord (2011),150
151,Jordan 11 Retro Concord (2018),151
152,Jordan 11 Retro Concord DMP (2006),152
153,Jordan 11 Retro Legend Blue (2014),153
154,Jordan 11 Retro Low Concord Bred,154
155,Jordan 11 Retro Low Cool Grey,155
156,Jordan 11 Retro Low Golf Cool Grey,156
157,Jordan 11 Retro Low Snake Light Bone,157
158,Jordan 11 Retro Low Snake Navy (2019),158
159,Jordan 11 Retro Low University Blue (2017),159
160,Jordan 11 Retro Platinum Tint,160
161,Jordan 11 Retro Playoffs (2012),161
162,Jordan 11 Retro Playoffs Bred (2019),162
163,Jordan 11 Retro Space Jam (2016),163
164,Jordan 11 Retro UNC Win Like 82,164
165,Jordan 11 Retro Win Like 96,165
166,Jordan 12 Retro Black Game Royal,166
167,Jordan 12 Retro Fiba (2019),167
168,Jordan 12 Retro Flu Game (2016),168
169,Jordan 12 Retro Michigan,169
170,Jordan 12 Retro OVO Black,170
171,Jordan 12 Retro OVO White,171
172,Jordan 12 Retro PSNY,172
173,Jordan 12 Retro PSNY Bordeaux,173
174,Jordan 12 Retro PSNY Olive,174
175,Jordan 12 Retro PSNY Wheat,175
176,Jordan 12 Retro Reverse Taxi,176
177,Jordan 12 Retro White Dark Grey,177
178,Jordan 13 OG Flint (1997),178
179,Jordan 13 Retro Altitude (2017),179
180,Jordan 13 Retro Black Island Green,180
181,Jordan 13 Retro Bred (2017),181
182,Jordan 13 Retro Chinese New Year (2020),182
183,Jordan 13 Retro Flint (2020),183
